depth,ipodiastima,sorting time
2,268,0.0049877166748046875
3,190,0.0049877166748046875
1,378,0.002973794937133789
2,268,0.002973794937133789
3,190,0.002973794937133789
1,378,0.0029659271240234375
2,268,0.0029659271240234375
3,190,0.0029659271240234375
1,378,0.00396275520324707
2,268,0.00396275520324707
3,78,0.00396275520324707
1,378,0.001995086669921875
2,268,0.001995086669921875
3,78,0.001995086669921875
1,378,0.002993345260620117
2,268,0.002993345260620117
3,78,0.002993345260620117
1,378,0.0029959678649902344
2,268,0.0029959678649902344
3,78,0.0029959678649902344
1,378,0.002969026565551758
2,268,0.002969026565551758
3,78,0.002969026565551758
1,378,0.003991127014160156
2,268,0.003991127014160156
3,78,0.003991127014160156
1,378,0.0029921531677246094
2,268,0.0029921531677246094
3,190,0.0029921531677246094
1,378,0.004004955291748047
2,268,0.004004955291748047
3,190,0.004004955291748047
1,31707,0.030919790267944336
2,13101,0.030919790267944336
3,3937,0.030919790267944336
1,31707,0.03190493583679199
2,13101,0.03190493583679199
3,3937,0.03190493583679199
1,31707,0.03092050552368164
2,13101,0.03092050552368164
3,3937,0.03092050552368164
1,31707,0.03490424156188965
2,13101,0.03490424156188965
3,12133,0.03490424156188965
1,30800,0.046430110931396484
2,13322,0.046430110931396484
3,6335,0.046430110931396484
1,6335,0.04896235466003418
2,2066,0.04896235466003418
3,330,0.04896235466003418
1,13322,0.07779169082641602
2,2066,0.07779169082641602
3,330,0.07779169082641602
1,13322,0.04787468910217285
2,330,0.04787468910217285
3,11256,0.04787468910217285
1,13322,0.13564038276672363
2,6335,0.13564038276672363
3,2066,0.13564038276672363
1,30800,0.04588055610656738
2,6335,0.04588055610656738
3,2066,0.04588055610656738
1,30800,0.0468752384185791
2,6335,0.0468752384185791
3,2066,0.0468752384185791
1,21989,0.049857139587402344
2,13322,0.049857139587402344
3,6335,0.049857139587402344
1,2066,0.06957888603210449
2,330,0.06957888603210449
3,43665,0.06957888603210449
1,21989,0.049840450286865234
2,2066,0.049840450286865234
3,330,0.049840450286865234
1,21989,0.043886423110961914
2,2066,0.043886423110961914
3,330,0.043886423110961914
1,21989,0.04262089729309082
2,2066,0.04262089729309082
3,330,0.04262089729309082
1,21989,0.046766042709350586
2,2066,0.046766042709350586
3,330,0.046766042709350586
1,21989,0.04786276817321777
2,2066,0.04786276817321777
3,330,0.04786276817321777
1,49670,0.06782221794128418
2,1736,0.06782221794128418
3,43665,0.06782221794128418
1,43392,0.06382894515991211
2,2066,0.06382894515991211
3,330,0.06382894515991211
1,6335,0.05186271667480469
2,2066,0.05186271667480469
3,1736,0.05186271667480469
1,2066,0.06180858612060547
2,330,0.06180858612060547
3,43665,0.06180858612060547
1,2066,0.06299757957458496
2,1736,0.06299757957458496
3,43665,0.06299757957458496
1,30800,0.04887270927429199
2,6335,0.04887270927429199
3,2066,0.04887270927429199
1,21989,0.074798583984375
2,6335,0.074798583984375
3,2066,0.074798583984375
1,21989,0.07279729843139648
2,6335,0.07279729843139648
3,2066,0.07279729843139648
1,21989,0.08078408241271973
2,6335,0.08078408241271973
3,2066,0.08078408241271973
1,21989,0.0708162784576416
2,6335,0.0708162784576416
3,2066,0.0708162784576416
1,21989,0.07081151008605957
2,6335,0.07081151008605957
3,2066,0.07081151008605957
1,21989,0.06883478164672852
2,6335,0.06883478164672852
3,2066,0.06883478164672852
1,21989,0.08374667167663574
2,6335,0.08374667167663574
3,2066,0.08374667167663574
1,21989,0.06983780860900879
2,6335,0.06983780860900879
