ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 322, 177, 116]",512,0.1760399341583252
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 376, 252, 166]",512,0.17854714393615723
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 259, 249, 119]",512,0.17054295539855957
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 6, 3, 2]",512,0.17752528190612793
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 235, 23, 14]",512,0.1667194366455078
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 316, 88, 88]",512,0.1894700527191162
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 271, 256, 70]",512,0.1829085350036621
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 464, 331, 100]",512,0.1735365390777588
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 383, 43, 28]",512,0.18749690055847168
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 222, 71, 40]",512,0.21841645240783691
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 344, 79, 69]",512,0.16855120658874512
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 357, 92, 72]",512,0.17752480506896973
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 449, 398, 85]",512,0.18413281440734863
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 132, 74, 71]",512,0.18351054191589355
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 109, 63, 61]",512,0.17253899574279785
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 121, 79, 27]",512,0.1685492992401123
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 488, 177, 12]",512,0.17054414749145508
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 415, 50, 23]",512,0.17353558540344238
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 149, 104, 31]",512,0.1874990463256836
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 299, 23, 9]",512,0.16954708099365234
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 330, 295, 116]",512,0.17225885391235352
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 88, 56, 31]",512,0.18478035926818848
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 455, 318, 316]",512,0.2234020233154297
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 139, 101, 42]",512,0.18151497840881348
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 137, 20, 20]",512,0.16156768798828125
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 246, 86, 52]",512,0.12366914749145508
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 257, 67, 24]",512,0.1406240463256836
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 398, 17, 15]",512,0.1745319366455078
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 463, 63, 57]",512,0.18139219284057617
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 454, 438, 218]",512,0.20046424865722656
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 227, 76, 73]",512,0.17453289031982422
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 485, 448, 211]",512,0.18151545524597168
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 32, 20, 7]",512,0.17553067207336426
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 265, 240, 129]",512,0.18650078773498535
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 48, 10, 5]",512,0.18858003616333008
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 64, 57, 42]",512,0.1875002384185791
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 273, 135, 102]",512,0.16954612731933594
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 20, 6, 6]",512,0.1760406494140625
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 134, 9, 4]",512,0.17054486274719238
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 468, 330, 140]",512,0.17552971839904785
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 196, 32, 22]",512,0.18350863456726074
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 368, 34, 27]",512,0.17054486274719238
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 231, 34, 8]",512,0.17453312873840332
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 257, 80, 30]",512,0.18004870414733887
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 486, 120, 64]",512,0.17054367065429688
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 375, 112, 3]",512,0.18339848518371582
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 295, 276, 25]",512,0.17054462432861328
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 180, 177, 113]",512,0.16954708099365234
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 406, 209, 189]",512,0.1765275001525879
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 415, 360, 78]",512,0.17253875732421875
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 27, 10, 8]",512,0.17183732986450195
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 300, 246, 68]",512,0.18350720405578613
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 241, 203, 138]",512,0.17453312873840332
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 185, 156, 135]",512,0.16976118087768555
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 376, 183, 46]",512,0.17154169082641602
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 452, 263, 216]",512,0.17154192924499512
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 371, 356, 318]",512,0.18550324440002441
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 141, 72, 42]",512,0.1795206069946289
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 294, 264, 137]",512,0.17553043365478516
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 476, 282, 103]",512,0.17553019523620605
